index,file_path,file_id,consent_form_type,document_name,institution_source,document_type,completion_status,consent_type,purpose,target_population,notes,form_titles,primary_collector,collection_date,retrieval_source,retrieval_source_type,pdf_file_link,text_file_link
17,../data/research_forms//CF-Template_Biomed_PermissionParent.txt,1017,research,CF-Template_Biomed_PermissionParent,University of California at Berkeley,Annotated Template,Partial,Assent,Unknown,Pediatric,Parent permission for child,Parent Permission for Child to Participate in a Research Study,ms,,,,,
18,../data/research_forms//Repository1.txt,1018,research,Repository1,Vanderbilt University,Annotated Template,Partial,Broad Consent,Biobanking,Adult / Pediatric,This template language should be attached / included in the primary study consent form.,Bio/Data Repository “Rider” for Consent Forms: Consent for Sample and Data Storage and Future Research,ms,,,,,
19,../data/research_forms//Adult_ICF_Non-CE.txt,1019,research,Adult_ICF_Non-CE,,,,,,,,,ms,,,,,
20,../data/research_forms//icmodel.txt,1020,research,icmodel,Coriell Institute for Medical Research,Annotated Template,Partial,Informed Consent,"Biobank, Biospecimen collection",Adult,,Sample Informed Consent Language,ms,,,,,
21,../data/research_forms//hipaaconsentform.txt,1021,research,hipaaconsentform,Johns Hopkins University,Annotated Template,Complete,Broad Consent / Assent,"Biobanking, Genetic Studies",Adult / Pediatric,,Combined Informed Consent / Authorization Template,ms,,,,,
22,../data/research_forms//MRI_TEM-C4 (1).txt,1022,research,MRI_TEM-C4 (1),,,,,,,,,ms,,,,,
23,../data/research_forms//Vitalis_natropath consent to treat.txt,1023,research,Vitalis_natropath consent to treat,,,,,,,,,ms,,,,,
24,../data/research_forms//SUSampCons-dc.txt,1024,research,SUSampCons-dc,,,,,,,,,ms,,,,,
25,../data/research_forms//Parental-Permission-Form-6-12-2017 (1).txt,1025,research,Parental-Permission-Form-6-12-2017 (1),,,,,,,,,ms,,,,,
26,../data/research_forms//Cleveland Akron General - Informed Consent Template Document.txt,1026,research,Cleveland Akron General - Informed Consent Template Document,,,,,,,,,ms,,,,,
27,../data/research_forms//CONSENT- SHORT FORM.txt,1027,research,CONSENT- SHORT FORM,,,,,,,,,ms,,,,,
28,../data/research_forms//Assent-7-11.txt,1028,research,Assent-7-11,Children's National Medical Center,Annotated Template,Partial,Assent,Clinical Research,Pediatric,For ages 7-11,Assent (Ages 7 through 11) To Participate In a Clinical Research Study,ms,,,,,
29,../data/research_forms//Informed consent for sample storage.txt,1029,research,Informed consent for sample storage,World Health Organization,Annotated Template,Complete,Broad Consent / Checklist,"Biospecimen collection, Genetic Studies",Adult,,Informed Consent Form Template for Consent for Storage and Future Use of Unused Samples,ms,,,,,
30,../data/research_forms//Emergency Use Parental Permission and Authorization Document Template.txt,1030,research,Emergency Use Parental Permission and Authorization Document Template,,,,,,,,,ms,,,,,
31,../data/research_forms//Parent_Guardian_Permission_Form_Non-CE.txt,1031,research,Parent_Guardian_Permission_Form_Non-CE,,,,,,,,,ms,,,,,
32,../data/research_forms//cirb_adult_cf_template.txt,1032,research,cirb_adult_cf_template,,,,,,,,,ms,,,,,
33,../data/research_forms//t502a_icf_consent_form_v2016-07_0.txt,1033,research,t502a_icf_consent_form_v2016-07_0,The University of Arizona,Annotated Template,Complete,Broad Consent ,General,Adult,,The University of Arizona Consent to Participate in Research,ms,,,,,
34,../data/research_forms//HSBS_Template_ConsentClinical.txt,1034,research,HSBS_Template_ConsentClinical,University of Michigan,Template,Complete,Blanket Consent,General,Adult,,Consent to Participate in a Research Study,ms,,,,,
35,../data/research_forms//Biomed_consent_UCSD_new.txt,1035,research,Biomed_consent_UCSD_new,,,,,,,,,ms,,,,,
36,../data/research_forms//OSU-WIRBConsentTemplate_09302014.txt,1036,research,OSU-WIRBConsentTemplate_09302014,The Ohio State University,Annotated Template,Complete,Broad Consent / Assent,General,Adult,,Research Subject Information And Consent Form,ms,,,,,
37,../data/research_forms//MinorAssentForm030708.txt,1037,research,MinorAssentForm030708,Tufts University,Template,Partial,Assent,Unknown,Pediatric,,Agreement to Participate in Research,ms,,,,,
38,../data/research_forms//TAMU - Waiver of PHI Authorization Form.txt,1038,research,TAMU - Waiver of PHI Authorization Form,,,,,,,,,ms,,,,,
39,../data/research_forms//Childrens National 7-11 Affidavit_English.txt,1039,research,Childrens National 7-11 Affidavit_English,,,,,,,,,ms,,,,,
40,../data/research_forms//Short_Form_Consent-English_from_website_rev10-21-2013.txt,1040,research,Short_Form_Consent-English_from_website_rev10-21-2013,,,,,,,,,ms,,,,,
41,../data/research_forms//Madison VA Hospital_TemplateVAConsentFormrevisions2013-August.txt,1041,research,Madison VA Hospital_TemplateVAConsentFormrevisions2013-August,,,,,,,,,ms,,,,,
42,../data/research_forms//HUD Consent and Authorization Document Template3.txt,1042,research,HUD Consent and Authorization Document Template3,,,,,,,,,ms,,,,,
43,../data/research_forms//Cleveland Clinic - General Informed Consent.txt,1043,research,Cleveland Clinic - General Informed Consent,,,,,,,,,ms,,,,,
44,../data/research_forms//PhysicalrisktemplateplusHIPAA_zeroinstructions5-31-17.txt,1044,research,PhysicalrisktemplateplusHIPAA_zeroinstructions5-31-17,University of Wisconsin,Annotated Template,Complete,Broad Consent,"Biospecimen collection, Genetic Studies",Adult,"Template consent forms for studies that pose physical risks to subjects, including treatment studies and studies involving physical interventions.",Consent to Participate in Research and Authorization to Use Protected Health Information,ms,,,,,
45,../data/research_forms//CF-Template_SocBehav_School_Assent1317YrOld.txt,1045,research,CF-Template_SocBehav_School_Assent1317YrOld,,,,,,,,,ms,,,,,
46,../data/research_forms//CHOA_ICFHIPAA_Template.txt,1046,research,CHOA_ICFHIPAA_Template,,,,,,,,,ms,,,,,
47,../data/research_forms//blood-draw-consent.txt,1047,research,blood-draw-consent,University of California_San Francisco,Annotated Template,Partial,Informed Consent,Biospecimen collection,Adult,,Consent to be in Research,ms,,,,,
48,../data/research_forms//t503a_final_ua-bh_icf_hipaa_v2016-10.txt,1048,research,t503a_final_ua-bh_icf_hipaa_v2016-10,The University of Arizona_Banner University Medicine,Annotated Template,Complete,Broad Consent ,General,Adult,,Consent to participate in research,ms,,,,,
49,../data/research_forms//ConsentandAuthorizationDocument-Template.txt,1049,research,ConsentandAuthorizationDocument-Template,The University of Utah,Annotated Template,Complete,Broad Consent / Assent,General,Adult,,Consent and Authorization Document,ms,,,,,
50,../data/research_forms//Northwestern-PGx-Physician-Consent-Revised-011113.txt,1050,research,Northwestern-PGx-Physician-Consent-Revised-011113,Northwestern University,Example Document,Complete,Blanket Consent,Genetic Studies,Adult,,Consent Form for Research,ms,,,,,
51,../data/research_forms//Med_survey_consent.txt,1051,research,Med_survey_consent,Stanford University,Annotated Template,Complete,Broad Consent / Assent,"Biobanking, Genetic Studies, Clinical Trials",Adult / Pediatric,,Stanford Consent Form Template for Minimal Risk Medical Human Subject Research,ms,,,,,
52,../data/research_forms//207 - sample-assent-form (1).txt,1052,research,207 - sample-assent-form (1),,,,,,,,,ms,,,,,
53,../data/research_forms//institute-biorepository-consent-form (1).txt,1053,research,institute-biorepository-consent-form (1),,,,,,,,,ms,,,,,
54,../data/research_forms//Authorization1.txt,1054,research,Authorization1,,,,,,,,,ms,,,,,
55,../data/research_forms//Informed Consent Document_Biomedical Template.txt,1055,research,Informed Consent Document_Biomedical Template,University of Iowa,Annotated Template,Complete,Tiered Consent / Assent,"Biobanking, Genetic Studies, Clinical Trials",Adult / Prisoners / Pediatric,,Informed Consent Document ­ Biomedical Template,ms,,,,,
56,../data/research_forms//emergency-use-consent-form-1407778027.txt,1056,research,emergency-use-consent-form-1407778027,,,,,,,,,ms,,,,,
57,../data/research_forms//DBRepositoryConsentForm_rev10-21-2013.txt,1057,research,DBRepositoryConsentForm_rev10-21-2013,,,,,,,,,ms,,,,,
58,../data/research_forms//Viginia Department of Health_FluVac16.txt,1058,research,Viginia Department of Health_FluVac16,,,,,,,,,ms,,,,,
59,../data/research_forms//Informed_Consent_Document_Template.txt,1059,research,Informed_Consent_Document_Template,Case Western University,Annotated Template,Complete,Informed Consent,Unknown,Adult,,Informed Consent Document,ms,,,,,
60,../data/research_forms//PrincetonU-Adult Consent Form.txt,1060,research,PrincetonU-Adult Consent Form,Princeton University,Annotated Template,Complete,Blanket Consent,Unknown,Adult,,Adult Consent Form,ms,,,,,
61,../data/research_forms//TAMU - Parental Permission Form.txt,1061,research,TAMU - Parental Permission Form,,,,,,,,,ms,,,,,
62,../data/research_forms//CF-Sample_MediaRecordsReleaseForm.txt,1062,research,CF-Sample_MediaRecordsReleaseForm,,,,,,,,,ms,,,,,
63,../data/research_forms//consent-form-no-hipaa-1400536163.txt,1063,research,consent-form-no-hipaa-1400536163,,,,,,,,,ms,,,,,
64,../data/research_forms//ic_adult.txt,1064,research,ic_adult,Coriell Institute for Medical Research,Example Document,Complete,Broad Consent,"Biobank, Biospecimen collection",Adult,,USIDNet DNA and Cell Repository Informed Consent (adult),ms,,,,,
65,../data/research_forms//SUSampCons_somatic_cell_HIPAA_110410.txt,1065,research,SUSampCons_somatic_cell_HIPAA_110410,Stanford University,Annotated Template,Complete,Broad Consent / Assent,"Biobanking, Genetic Studies, Clinical Trials",Adult / Pediatric,,Stanford University Consent Form for Somatic Cell Donation for Stem Cell Research,ms,,,,,
66,../data/research_forms//GU-Merck_treatment_consent_template_2013.txt,1066,research,GU-Merck_treatment_consent_template_2013,,,,,,,,,ms,,,,,
67,../data/research_forms//Parent_Guardian_Permission_Form_CE.txt,1067,research,Parent_Guardian_Permission_Form_CE,Tufts University,Annotated Template,Complete,Assent,"Biobanking, Clinical Trials, Genetic Studies",Pediatric,Child's Assent for 7 years and older; Form6 should be attached for biobanking,Informed Consent to Participate in Research,ms,,,,,
68,../data/research_forms//PMBB Informed Consent (1).txt,1068,research,PMBB Informed Consent (1),University of Pennsylvania,Example Document,Complete,Blanket Consent,"Biobanking, Genetic",Adult,PENN Medicine BioBank,Research Subject Informed Consent and HIPAA Authorization Form,ms,,,,,
69,../data/research_forms//blood-draw-consent-template.txt,1069,research,blood-draw-consent-template,Dartmouth-Hitchcock Medical Center,Annotated Template,Partial,Broad Consent,Biospecimen collection for biobanking,Adult,,Consent to Provide Blood for Research,ms,,,,,
70,../data/research_forms//NANT_2009-03_Sample_Consent_Assent.txt,1070,research,NANT_2009-03_Sample_Consent_Assent,New Approaches to Neuroblastoma Therapy (NANT) Consortium,Example Document,Complete,Broad Consent / Assent,"Genetic Studies, Clinical Trial",Adult / Pediatric,,Sample Informed Consent and Assent Documents,ms,,,,,
71,../data/research_forms//eMERGE-Consent-V7-12-17-2014-CLEAN-6.txt,1071,research,eMERGE-Consent-V7-12-17-2014-CLEAN-6,Cincinnati Children’s Hospital Medical Center,Example Document,Complete,Blanket Consent / Assent?,Genetic Studies,Adult/Pediatric?,eMERGE Study,Informed Consent For Participation In A Research Study,ms,,,,,
72,../data/research_forms//English Short Form Template.txt,1072,research,English Short Form Template,,,,,,,,,ms,,,,,
73,../data/research_forms//eMERGE_GH_PGxConsentForm.txt,1073,research,eMERGE_GH_PGxConsentForm,Group Health Research Institute/University of Washington,Example Document,Complete,Blanket Consent,"Biobanking, Genetic Studies",Adult,"eMERGE, Vanderbilt",Consent Form - eMERGE Pharmacogenomics Study,ms,,,,,
74,../data/research_forms//consent-hipaa-authorization-form-1407777962.txt,1074,research,consent-hipaa-authorization-form-1407777962,Northwestern University,Annotated Template,Complete,Broad Consent,Clinical Trials / Biospecimen collection,Adult,,Consent Form and HIPAA Authorization for Research,ms,,,,,
75,../data/research_forms//Assent-for-Participants-Aged-7-13.txt,1075,research,Assent-for-Participants-Aged-7-13,University of Washington_Fred Hutchinson Cancer Research Center,Template,Partial,Assent,Biospecimen collection,Pediatric,,Assent form for a research study,ms,,,,,
76,../data/research_forms//D58-Issues-to-Address_Informed-Consent-for-Tissue-Specimen.txt,1076,research,D58-Issues-to-Address_Informed-Consent-for-Tissue-Specimen,University of Kentucky,Instructions,Complete,Informed Consent,"Biobanking, Genetic Studies",Adult,,Kentucky Issues to be Addressed and Sample Consent Language for Tissue/Specimen Repositories or Individual Studies Banking Material for Future Use,ms,,,,,
77,../data/research_forms//ConsentandReleaseofInformationAuthorizationDocumentTemplate-PregnancyFollowUp.txt,1077,research,ConsentandReleaseofInformationAuthorizationDocumentTemplate-PregnancyFollowUp,,,,,,,,,ms,,,,,
78,../data/research_forms//HRP-502a - TEMPLATE CONSENT DOCUMENT.txt,1078,research,HRP-502a - TEMPLATE CONSENT DOCUMENT,,,,,,,,,ms,,,,,
79,../data/research_forms//informed-consent-embryo-gamete.txt,1079,research,informed-consent-embryo-gamete,University of California_Irvine,Example Document,Complete,Broad Consent,"Biobanking, Genetic Studies",Adult,,Consent for Donation of Embryo(s) or Gametes for Human Stem Cell Research,ms,,,,,
80,../data/research_forms//EnglishSAMPLE.txt,1080,research,EnglishSAMPLE,,,,,,,,,ms,,,,,
81,../data/research_forms//William and Mary_Informed Consent to Receive Vaccines.txt,1081,research,William and Mary_Informed Consent to Receive Vaccines,,,,,,,,,ms,,,,,
82,../data/research_forms//verbal-consent-1407778162.txt,1082,research,verbal-consent-1407778162,,,,,,,,,ms,,,,,
83,../data/research_forms//206 - sample-consent-form.txt,1083,research,206 - sample-consent-form,The University of Alabama at Birmingham,Example Document,Complete,Broad Consent / Assent,"Biobanking, Genetic Studies, Clinical Trials",Adult / Pediatric,Assent from participants 14 years  of age and older,Sample Consent Form,ms,,,,,
84,../data/research_forms//Virginia Institute of Marine Science_Parental Gaurdian Consent for Emergency Medical Treatment of a Minor.txt,1084,research,Virginia Institute of Marine Science_Parental Gaurdian Consent for Emergency Medical Treatment of a Minor,,,,,,,,,ms,,,,,
85,../data/research_forms//Marshfield-PGx-IRB-Approved-CF-10-11-2012.txt,1085,research,Marshfield-PGx-IRB-Approved-CF-10-11-2012,Marshfield Clinic Research Foundation,Example Document,Complete,Broad Consent,"Biobanking, Genetic Studies",Adult,,Research Consent Form,ms,,,,,
86,../data/research_forms//ic_parent.txt,1086,research,ic_parent,Coriell Institute for Medical Research,Example Document,Complete,Assent,"Biobank, Biospecimen collection",Pediatric,,USIDNet DNA / Cell Repository Informed Consent (parent),ms,,,,,
87,../data/research_forms//Cranio_Consent_2.txt,1087,research,Cranio_Consent_2,University of California_Irvine,Example Document,Complete,Tiered Consent,"Biobanking, Genetic Studies",Adult / Pediatric,Assent form required for children over the age of 7 years,Consent to Act as a Human Research Subject,ms,,,,,
88,../data/research_forms//HIPAA.txt,1088,research,HIPAA,,,,,,,,,ms,,,,,
89,../data/research_forms//InformedAssent.txt,1089,research,InformedAssent,,,,,,,,,ms,,,,,
90,../data/research_forms//Beskow_Simplified-consent-English.txt,1090,research,Beskow_Simplified-consent-English,Duke Clinical Research Institute,Example Document,Partial,Blanket Consent,"Biobanking, Genetic Studies",Adult,Simplified Consent for Biobanking ‐ English,Consent to Participate in the Duke Biobank,ms,,,,,
91,../data/research_forms//combined-consent-form-and-compound-hipaa-biomedical.txt,1091,research,combined-consent-form-and-compound-hipaa-biomedical,University of Colorado_Denver,Annotated Template,Complete,Broad Consent / Assent ,"Biobanking, Genetic Studies, Clinical Trials",Adult / Pediatric,Assent for children ages 13-18; children 7-12 should sign a separate assent form; for children 0-7 parents are consented using this form,Consent and Authorization Form,ms,,,,,
92,../data/research_forms//AssentChild05.txt,1092,research,AssentChild05,,,,,,,,,ms,,,,,
93,../data/research_forms//HRP-502b - TEMPLATE CONSENT DOCUMENT.INCAPACITATEDADULT.txt,1093,research,HRP-502b - TEMPLATE CONSENT DOCUMENT.INCAPACITATEDADULT,ICAHN School of Medicine_Mount Sinai,Annotated Template,Complete,Assent,"Biobanking, Genetic Studies, Clinical Trials",Adult,For an incapacitated adult,Permission Form for an Incapacitated Adult to Participate in a Research Study and Authorization for Use and Disclosure of Medical Information,ms,,,,,
94,../data/research_forms//CI_20OSAS_20consent_208.7.13_20clean.txt,1094,research,CI_20OSAS_20consent_208.7.13_20clean,South Carolina Medical University,Example Document,Complete,Broad Consent,"Observational, Genetic",Adult,,Cognitive Impairment and Obstructive Sleep Apnea Syndrome in Post-Menopausal Women,ms,,,,,
95,../data/research_forms//VAAuthorizationDocumentTEmplate.txt,1095,research,VAAuthorizationDocumentTEmplate,,,,,,,,,ms,,,,,
96,../data/research_forms//informed-consent-biomedical.txt,1096,research,informed-consent-biomedical,University of California_Irvine,Annotated Template,Complete,Broad Consent,"Biobanking, Genetic Studies, Clinical Trials",Adult / Pediatric,,Consent to Act as a Human Research Subject,ms,,,,,
97,../data/research_forms//MCRC consent pts-8May15-STAMPED.txt,1097,research,MCRC consent pts-8May15-STAMPED,South Carolina Medical University,Example Document,Complete,"Checklist, Assent","Biobanking, Genetic","Adult, Pediatric",,MUSC: Multidisciplinary Clinical Research Center for Rheumatic Diseases in African Americans,ms,,,,,
98,../data/research_forms//Informed Consent_Template_Biobank_08-24-2016_DRAFT.txt,1098,research,Informed Consent_Template_Biobank_08-24-2016_DRAFT,,,,,,,,,ms,,,,,
99,../data/research_forms//Assent-Form-Template-March-20132.txt,1099,research,Assent-Form-Template-March-20132,Boston University Charles River Campus,Annotated Template,Partial,Assent,Observational ,Adult,,Assent Form,ms,,,,,
100,../data/research_forms//SUSampCons-bd.txt,1100,research,SUSampCons-bd,Stanford University,Example Document,Complete,Broad Consent,Genetic Studies,Adult,,Sample Consent for Research Involving Blood Draw,ms,,,,,
101,../data/research_forms//InformedConsent-biospecimens.txt,1101,research,InformedConsent-biospecimens,Veterans Health Administration,Instructions,Partial,Broad Consent,"Biobanking, Genetic Studies",Adult,,Guidance on What to Include in an Informed Consent Document When Banking or Storing VA Biospecimens for Research Purposes,ms,,,,,
102,../data/research_forms//IC-RA_combined_2014-12-2.txt,1102,research,IC-RA_combined_2014-12-2,University of Louisville,Annotated Template,Complete,Broad Consent,General,Adult,,Informed Consent And Research Authorization,ms,,,,,
103,../data/research_forms//PGx-consent-v6.txt,1103,research,PGx-consent-v6,Geisinger ,Example Document,Partial,Blanket Consent,Genetic Studies,Adult,Geisinger eMERGE PGx (Pharmacogenomics) Project,Research Consent / Authorization Form,ms,,,,,
104,../data/research_forms//Model-Consent-Minimal-Risk.txt,1104,research,Model-Consent-Minimal-Risk,University of Washington_Fred Hutchinson Cancer Research Center,Annotated Template,Partial,Broad Consent / Checklist / Assent,"Biospecimen collection, Genetic Studies",Adult / Pediatric,For Participants ages 14-17; Parental permission required in addition to the assent form.,Consent to donate extra tissue samples for research during a planned clinical evaluation for blood or marrow stem cell transplantation,ms,,,,,
105,../data/research_forms//ConsentTemplate_BC_0930141.txt,1105,research,ConsentTemplate_BC_0930141,,,,,,,,,ms,,,,,
106,../data/research_forms//expedited-consent-template.txt,1106,research,expedited-consent-template,Dartmouth College,Annotated Template,Complete,Broad Consent,General,Adult,,Consent to Take Part in Research,ms,,,,,
107,../data/research_forms//t502b_-_consent_addendum_effective_2016-07.txt,1107,research,t502b_-_consent_addendum_effective_2016-07,,,,,,,,,ms,,,,,
108,../data/research_forms//Mayo-Right-Consent-06072012.txt,1108,research,Mayo-Right-Consent-06072012,Mayo Clinic,Example Document,Complete,Blanket Consent,"Biobanking, Genetic Studies",Adult,,Research Participant Consent and Privacy Authorization Form,ms,,,,,
109,../data/research_forms//HSBS_Template_ConsentExempt.txt,1109,research,HSBS_Template_ConsentExempt,,,,,,,,,ms,,,,,
110,../data/research_forms//informed-consent-somatic-cell.txt,1110,research,informed-consent-somatic-cell,University of California_Irvine,Example Document,Complete,Broad Consent,"Biobanking, Genetic Studies",Adult,,Consent For Donation of Somatic Cells for Human Stem Cell Research,ms,,,,,
111,../data/research_forms//Duke excess sample consent form.txt,1111,research,Duke excess sample consent form,Duke University Health System,Example Document,Complete,Blanket Consent,"Biobanking, Genetic",Adult,,Consent to Participate in a Research Study,ms,,,,,
112,../data/research_forms//Beskow_Simplified-consent-English (1).txt,1112,research,Beskow_Simplified-consent-English (1),,,,,,,,,ms,,,,,
113,../data/research_forms//Clinical-Research-Consent-Form.txt,1113,research,Clinical-Research-Consent-Form,University of Washington_Fred Hutchinson Cancer Research Center,Annotated Template,Partial,Broad Consent / Checklist / Assent,"Biobanking, Genetic Studies, Clinical Trials",Adult / Pediatric,For Participants ages 14-17; Parental permission required in addition to the assent form.,Consent to take part in a research study,ms,,,,,
114,../data/research_forms//VA Consent Cover Letter Document Template.txt,1114,research,VA Consent Cover Letter Document Template,,,,,,,,,ms,,,,,
115,../data/research_forms//HMH - Procedure Consent.txt,1115,research,HMH - Procedure Consent,,,,,,,,,ms,,,,,
116,../data/research_forms//Parental Permission and Authorization Document for Minimal Risk Research Template2 (1).txt,1116,research,Parental Permission and Authorization Document for Minimal Risk Research Template2 (1),,,,,,,,,ms,,,,,
117,../data/research_forms//Form E.txt,1117,research,Form E,The University of Texas Health Science Center at San Antonio,Annotated Template,Complete,Broad Consent / Assent,"Biobanking, Genetic Studies",Adult / Pediatric,,Consent to be Part of a Research Repository,ms,,,,,
118,../data/research_forms//informed_consent_template.txt,1118,research,informed_consent_template,The University of Arizona,Template,Complete,Broad Consent ,General,Adult,,Informed Consent Document Template and Guidelines,ms,,,,,
119,../data/research_forms//assent.txt,1119,research,assent,Coriell Institute for Medical Research,Example Document,Partial,Assent,Genetic Studies,Pediatric,For Children aged 7 through 17,NIGMS Human Genetic Cell Repository Assent Form,ms,,,,,
120,../data/research_forms//PrincetonU-Meningitis-B-Consent-Form.txt,1120,research,PrincetonU-Meningitis-B-Consent-Form,,,,,,,,,ms,,,,,
121,../data/research_forms//Parental-Permission-Form-6-12-2017.txt,1121,research,Parental-Permission-Form-6-12-2017,East Carolina University,Annotated Template,Partial,Assent,Unknown,Pediatric,Separate assent form to be used for children ages 12 and above; For children ages between 7-12 verbal assent should be obtained and a script to be submitted for review.,"Parental [ Legal Guardian, Legally Authorized Representative] Permission to Allow Your Child to Take Part in Research",ms,,,,,
122,../data/research_forms//assent-form.txt,1122,research,assent-form,University of California_Irvine,Annotated Template,Partial,Assent,General,Pediatric,,Assent to be in a Human Research Study,ms,,,,,
123,../data/research_forms//Parent_Guardian_Permission_Form_Non-CE (1).txt,1123,research,Parent_Guardian_Permission_Form_Non-CE (1),,,,,,,,,ms,,,,,
124,../data/research_forms//ict_compassionate_emergency_use.txt,1124,research,ict_compassionate_emergency_use,,,,,,,,,ms,,,,,
125,../data/research_forms//Consent-and-Authorization-Forms-Repository-Only-7-3-2014.txt,1125,research,Consent-and-Authorization-Forms-Repository-Only-7-3-2014,Oregon Health & Science University,Annotated Template,Complete,Broad Consent / Assent,"Biobanking, Genetic Studies",Adult / Pediatric,"For a “Repository Only” submission, minors may not consent to their own participation. A signature line for the minor participant may be included on this consent form for minors age 15 or older; minor subjects age 7-14 should sign a separate assent form.",Research Repository Consent Form,ms,,,,,
126,../data/research_forms//ConsentAddendumTemplate.txt,1126,research,ConsentAddendumTemplate,,,,,,,,,ms,,,,,
127,../data/research_forms//Family Biorepository Consent Form_STAMPED_9.12.17.txt,1127,research,Family Biorepository Consent Form_STAMPED_9.12.17,NYU Langone Medical Center,Example Document,Complete,Broad Consent,"Biobanking, Genetic Studies",Adult / Pediatric,,Research Subject Informed Consent Form Biological Family Member Biorepository,ms,,,,,
128,../data/research_forms//Health-Sciences-Consent3.txt,1128,research,Health-Sciences-Consent3,Vanderbilt University,Annotated Template,Complete,Blanket Consent,"Biobanking, Clinical Trials",Adult / Pediatric,"Adults, child 12-17 years, parent, legal guardian, healthy volunteer, etc.",Informed Consent Document for Research,ms,,,,,
129,../data/research_forms//Wellness Group_INFLUENZA CONSENT FORM INACTIVE.txt,1129,research,Wellness Group_INFLUENZA CONSENT FORM INACTIVE,,,,,,,,,ms,,,,,
130,../data/research_forms//consent-mr.txt,1130,research,consent-mr,Albert Einstein College of Medicine,Annotated Template,Complete,Checklist,Biobanking,Adult,,Minimal Risk Template,ms,,,,,
